date,time_et,release,source
2022-10-07,08:30,Employment Situation,BLS:2022_sched.htm
2022-10-13,08:30,Consumer Price Index,BLS:2022_sched.htm
2022-11-04,08:30,Employment Situation,BLS:2022_sched.htm
2022-11-10,08:30,Consumer Price Index,BLS:2022_sched.htm
2022-12-02,08:30,Employment Situation,BLS:2022_sched.htm
2022-12-13,08:30,Consumer Price Index,BLS:2022_sched.htm
2023-01-06,08:30,Employment Situation,BLS:2023_sched.htm
2023-01-12,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-02-03,08:30,Employment Situation,BLS:2023_sched.htm
2023-02-14,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-03-10,08:30,Employment Situation,BLS:2023_sched.htm
2023-03-14,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-04-07,08:30,Employment Situation,BLS:2023_sched.htm
2023-04-12,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-05-05,08:30,Employment Situation,BLS:2023_sched.htm
2023-05-10,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-06-02,08:30,Employment Situation,BLS:2023_sched.htm
2023-06-13,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-07-07,08:30,Employment Situation,BLS:2023_sched.htm
2023-07-12,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-08-04,08:30,Employment Situation,BLS:2023_sched.htm
2023-08-10,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-09-01,08:30,Employment Situation,BLS:2023_sched.htm
2023-09-13,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-10-06,08:30,Employment Situation,BLS:2023_sched.htm
2023-10-12,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-11-03,08:30,Employment Situation,BLS:2023_sched.htm
2023-11-14,08:30,Consumer Price Index,BLS:2023_sched.htm
2023-12-08,08:30,Employment Situation,BLS:2023_sched.htm
2023-12-12,08:30,Consumer Price Index,BLS:2023_sched.htm
2024-01-05,08:30,Employment Situation,BLS:2024_sched.htm
2024-01-11,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-02-02,08:30,Employment Situation,BLS:2024_sched.htm
2024-02-13,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-03-08,08:30,Employment Situation,BLS:2024_sched.htm
2024-03-12,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-04-05,08:30,Employment Situation,BLS:2024_sched.htm
2024-04-10,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-05-03,08:30,Employment Situation,BLS:2024_sched.htm
2024-05-15,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-06-07,08:30,Employment Situation,BLS:2024_sched.htm
2024-06-12,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-07-05,08:30,Employment Situation,BLS:2024_sched.htm
2024-07-11,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-08-02,08:30,Employment Situation,BLS:2024_sched.htm
2024-08-14,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-09-06,08:30,Employment Situation,BLS:2024_sched.htm
2024-09-11,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-10-04,08:30,Employment Situation,BLS:2024_sched.htm
2024-10-10,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-11-01,08:30,Employment Situation,BLS:2024_sched.htm
2024-11-13,08:30,Consumer Price Index,BLS:2024_sched.htm
2024-12-06,08:30,Employment Situation,BLS:2024_sched.htm
2024-12-11,08:30,Consumer Price Index,BLS:2024_sched.htm
2025-01-10,08:30,Employment Situation,BLS:2025_sched.htm
2025-01-15,08:30,Consumer Price Index,BLS:2025_sched.htm
2025-02-07,08:30,Employment Situation,BLS:2025_sched.htm
2025-02-12,08:30,Consumer Price Index,BLS:2025_sched.htm
2025-03-07,08:30,Employment Situation,BLS:2025_sched.htm
2025-03-12,08:30,Consumer Price Index,BLS:2025_sched.htm
2025-04-04,08:30,Employment Situation,BLS:2025_sched.htm
2025-04-10,08:30,Consumer Price Index,BLS:2025_sched.htm
2025-05-02,08:30,Employment Situation,BLS:2025_sched.htm
2025-05-13,08:30,Consumer Price Index,BLS:2025_sched.htm
2025-06-06,08:30,Employment Situation,BLS:2025_sched.htm
2025-06-11,08:30,Consumer Price Index,BLS:2025_sched.htm
